index,H_name,H_SUPER_PATHWAY,H_SUB_PATHWAY,BRCA_Tang#H_name,BRCA_Terunuma#H_name,COAD#H_name,DLBCL#H_name,GBM#H_name,HCC#H_name,LiCa1#H_name,LiCa2#H_name,OV#H_name,PDAC#H_name,PRAD#H_name,RC12#H_name,RC18Flow#H_name,RC18MR#H_name,RC20#H_name
cysteine sulfinic acid#Amino Acid#Methionine, Cysteine, SAM and Taurine Metabolism,cysteine sulfinic acid,Amino Acid,Methionine, Cysteine, SAM and Taurine Metabolism,NA,NA,NA,cysteine sulfinic acid,NA,cysteine sulfinic acid,NA,NA,NA,NA,NA,NA,cysteine sulfinic acid,cysteine sulfinic acid,cysteine sulfinic acid
5-methylthioribose**#Amino Acid#Methionine, Cysteine, SAM and Taurine Metabolism,5-methylthioribose**,Amino Acid,Methionine, Cysteine, SAM and Taurine Metabolism,NA,NA,NA,NA,NA,5-methylthioribose**,NA,NA,NA,NA,NA,NA,5-methylthioribose**,5-methylthioribose**,5-methylthioribose**
cysteine s-sulfate#Amino Acid#Methionine, Cysteine, SAM and Taurine Metabolism,cysteine s-sulfate,Amino Acid,Methionine, Cysteine, SAM and Taurine Metabolism,NA,NA,NA,NA,NA,cysteine s-sulfate,NA,NA,NA,NA,NA,NA,NA,NA,cysteine s-sulfate
methionine sulfone#Amino Acid#Methionine, Cysteine, SAM and Taurine Metabolism,methionine sulfone,Amino Acid,Methionine, Cysteine, SAM and Taurine Metabolism,NA,NA,NA,NA,NA,methionine sulfone,NA,NA,NA,NA,NA,NA,methionine sulfone,methionine sulfone,methionine sulfone
N-acetylcysteine#Amino Acid#Methionine, Cysteine, SAM and Taurine Metabolism,N-acetylcysteine,Amino Acid,Methionine, Cysteine, SAM and Taurine Metabolism,NA,NA,NA,NA,NA,N-acetylcysteine,NA,NA,NA,N-acetylcysteine,NA,NA,N-acetylcysteine,N-acetylcysteine,N-acetylcysteine
N-acetylmethionine sulfoxide#Amino Acid#Methionine, Cysteine, SAM and Taurine Metabolism,N-acetylmethionine sulfoxide,Amino Acid,Methionine, Cysteine, SAM and Taurine Metabolism,NA,NA,NA,NA,NA,N-acetylmethionine sulfoxide,NA,NA,NA,NA,NA,NA,N-acetylmethionine sulfoxide,N-acetylmethionine sulfoxide,N-acetylmethionine sulfoxide
N-acetyltaurine#Amino Acid#Methionine, Cysteine, SAM and Taurine Metabolism,N-acetyltaurine,Amino Acid,Methionine, Cysteine, SAM and Taurine Metabolism,NA,NA,NA,NA,NA,N-acetyltaurine,NA,NA,NA,NA,NA,NA,N-acetyltaurine,N-acetyltaurine,N-acetyltaurine
S-methylcysteine sulfoxide#Amino Acid#Methionine, Cysteine, SAM and Taurine Metabolism,S-methylcysteine sulfoxide,Amino Acid,Methionine, Cysteine, SAM and Taurine Metabolism,NA,NA,NA,NA,NA,S-methylcysteine sulfoxide,NA,NA,NA,NA,NA,NA,S-methylcysteine sulfoxide,S-methylcysteine sulfoxide,S-methylcysteine sulfoxide
2,3-dihydroxy-5-methylthio-4-pentenoate (DMTPA)*#Amino Acid#Methionine, Cysteine, SAM and Taurine Metabolism,2,3-dihydroxy-5-methylthio-4-pentenoate (DMTPA)*,Amino Acid,Methionine, Cysteine, SAM and Taurine Metabolism,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3-dihydroxy-5-methylthio-4-pentenoate (DMTPA)*,2,3-dihydroxy-5-methylthio-4-pentenoate (DMTPA)*,2,3-dihydroxy-5-methylthio-4-pentenoate (DMTPA)*
3-sulfo-L-alanine#Amino Acid#Methionine, Cysteine, SAM and Taurine Metabolism,3-sulfo-L-alanine,Amino Acid,Methionine, Cysteine, SAM and Taurine Metabolism,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3-sulfo-L-alanine,3-sulfo-L-alanine,3-sulfo-L-alanine
lanthionine#Amino Acid#Methionine, Cysteine, SAM and Taurine Metabolism,lanthionine,Amino Acid,Methionine, Cysteine, SAM and Taurine Metabolism,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lanthionine,lanthionine,lanthionine
S-methylmethionine#Amino Acid#Methionine, Cysteine, SAM and Taurine Metabolism,S-methylmethionine,Amino Acid,Methionine, Cysteine, SAM and Taurine Metabolism,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S-methylmethionine
taurocyamine#Amino Acid#Methionine, Cysteine, SAM and Taurine Metabolism,taurocyamine,Amino Acid,Methionine, Cysteine, SAM and Taurine Metabolism,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,taurocyamine
